Table 140-09003 : 2009/10 Household Expenditure Survey - Average Monthly Household Expenditure by Commodity/Service Section/Group by Type of Housing,,,,,,,,
     17. Fresh fruit,131,1.2,159,0.8,162,0.6,152,0.7
     18. Processed fruit,4,[-§32],5,[-§32],7,[-§32],6,[-§32]
     19. Dairy products,59,0.6,82,0.4,133,0.5,101,0.5
     20. Eggs,27,0.3,27,0.1,28,0.1,28,0.1
     21. Edible oils,40,0.4,38,0.2,30,0.1,34,0.2
     22. Carbonated drinks,15,0.1,15,0.1,19,0.1,17,0.1
     23. Other non-alcoholic beverages,51,0.5,63,0.3,76,0.3,67,0.3
     24. Sugar,4,[-§32],4,[-§32],6,[-§32],5,[-§32]
     25. Confectionery,23,0.2,38,0.2,35,0.1,32,0.1
     26. Flavourings and additives,22,0.2,28,0.1,33,0.1,29,0.1
"     27. Food, others",115,1.1,155,0.8,184,0.6,158,0.7
Housing,1160,11.0,6529,33.9,10647,37.1,7093,32.8
"     28. Rent, including rates and government rent",1116,10.6,5969,30.9,9573,33.3,6418,29.7
     29. Management fees and other housing charges,42,0.4,554,2.9,1054,3.7,663,3.1
     30. Materials for house maintenance,2,[-§32],6,[-§32],19,0.1,12,0.1
"Electricity, gas and water",512,4.8,635,3.3,694,2.4,630,2.9
     31. Electricity,247,2.3,307,1.6,417,1.5,346,1.6
     32. Towngas,178,1.7,224,1.2,153,0.5,174,0.8
     33. Liquefied petroleum gas and other fuel,24,0.2,29,0.2,49,0.2,38,0.2
     34. Water and sewage charges,63,0.6,75,0.4,75,0.3,72,0.3
Alcoholic drinks and tobacco,151,1.4,117,0.6,129,0.5,133,0.6
     35. Chinese wines,3,[-§32],4,[-§32],3,[-§32],3,[-§32]
     36. Foreign-style wines,13,0.1,11,0.1,47,0.2,30,0.1
     37. Beer,19,0.2,17,0.1,14,[-§32],16,0.1
     38. Cigarettes,116,1.1,85,0.4,66,0.2,84,0.4
Clothing and footwear,483,4.6,685,3.6,1138,4.0,861,4.0
     39. Men's outerclothing,100,0.9,120,0.6,194,0.7,152,0.7
     40. Men's underclothing,7,0.1,10,0.1,18,0.1,13,0.1
     41. Women's outerclothing,181,1.7,288,1.5,509,1.8,371,1.7
     42. Women's underclothing,16,0.2,16,0.1,30,0.1,23,0.1
     43. Children's outerclothing,31,0.3,42,0.2,74,0.3,56,0.3
     44. Children's underclothing,4,[-§32],4,[-§32],8,[-§32],6,[-§32]
     45. Infants' clothing,6,0.1,7,[-§32],16,0.1,12,0.1
"     46. Clothing, others",12,0.1,20,0.1,39,0.1,27,0.1
     47. Clothing materials and tailoring charges,1,[-§32],2,[-§32],5,[-§32],3,[-§32]
     48. Men's footwear,52,0.5,67,0.3,78,0.3,68,0.3
     49. Women's footwear,59,0.6,91,0.5,133,0.5,103,0.5
     50. Children's and infants' footwear,14,0.1,16,0.1,35,0.1,25,0.1
Durable goods,397,3.8,647,3.4,1250,4.4,886,4.1
     51. Furniture,43,0.4,36,0.2,100,0.3,71,0.3
"     52. Home appliances, electric and gas",96,0.9,132,0.7,188,0.7,150,0.7
     53. Video and sound equipment,65,0.6,124,0.6,159,0.6,125,0.6
     54. Computer and telecommunications equipment,94,0.9,160,0.8,237,0.8,181,0.8
     55. Tableware and kitchen utensils,14,0.1,17,0.1,33,0.1,25,0.1
"     56. Watches, clocks, cameras and optical goods",33,0.3,84,0.4,205,0.7,132,0.6
     57. Travel and sports goods,39,0.4,73,0.4,307,1.1,184,0.9
"     58. Durable goods, others",12,0.1,21,0.1,21,0.1,18,0.1
Miscellaneous goods,574,5.4,828,4.3,1148,4.0,920,4.3
     59. Proprietary medicines and supplies,87,0.8,133,0.7,149,0.5,128,0.6
     60. Newspapers,60,0.6,66,0.3,64,0.2,63,0.3
     61. Books and periodicals (excluding textbooks),22,0.2,59,0.3,67,0.2,52,0.2
     62. Stationery,17,0.2,21,0.1,29,0.1,24,0.1
     63. Soft furnishings,21,0.2,35,0.2,56,0.2,42,0.2
     64. Cosmetics and personal care products,151,1.4,198,1.0,291,1.0,233,1.1
     65. Household cleansing tools and supplies,33,0.3,38,0.2,42,0.1,39,0.2
     66. Jewellery,20,0.2,58,0.3,169,0.6,104,0.5
     67. Toys and hobbies,29,0.3,62,0.3,107,0.4,76,0.4
     68. Purchases of textbooks,96,0.9,101,0.5,93,0.3,96,0.4
"     69. Household goods, others",39,0.4,57,0.3,81,0.3,64,0.3
Transport,897,8.5,1397,7.2,2442,8.5,1792,8.3
     70. Purchases of and repairs to motor vehicles,4,[-§32],32,0.2,502,1.7,267,1.2
     71. Motor fuel,20,0.2,84,0.4,261,0.9,157,0.7
"     72. Motor licences, insurance, instructor's fees, parking fees and tunnel tolls",39,0.4,176,0.9,472,1.6,289,1.3
     73. Bus fares,340,3.2,398,2.1,277,1.0,318,1.5
     74. Tram fares,1,[-§32],1,[-§32],5,[-§32],3,[-§32]
     75. Public light bus fares,106,1.0,111,0.6,115,0.4,112,0.5
     76. Taxi fares,41,0.4,86,0.4,169,0.6,116,0.5
     77. MTR fares,295,2.8,378,2.0,313,1.1,320,1.5
     78. Ferry fares,5,[-§32],6,[-§32],22,0.1,14,0.1
"     79. Local transport, others",15,0.1,26,0.1,94,0.3,58,0.3
     80. Inbound and outbound transport fares,30,0.3,100,0.5,213,0.7,138,0.6
Miscellaneous services,1609,15.2,2617,13.6,4793,16.7,3449,16.0
     81. School fees,602,5.7,854,4.4,1270,4.4,996,4.6
     82. Other educational charges,28,0.3,31,0.2,32,0.1,31,0.1
     83. Medical services,269,2.5,532,2.8,793,2.8,590,2.7
     84. Cinema entertainment,17,0.2,24,0.1,31,0.1,25,0.1
     85. Package tours,89,0.8,240,1.2,681,2.4,424,2.0
     86. Expenses on parties,[-§19],[-§32],11,0.1,36,0.1,21,0.1
     87. Other entertainment and holiday expenses,24,0.2,46,0.2,78,0.3,56,0.3
     88. Household services,68,0.6,269,1.4,865,3.0,519,2.4
     89. Hair-dressing,40,0.4,52,0.3,87,0.3,67,0.3
     90. Beauty treatment and fitness services,17,0.2,24,0.1,126,0.4,75,0.3
     91. Repairs to personal and household goods,3,[-§32],4,[-§32],31,0.1,18,0.1
"     92. Professional services, subscriptions and other services",35,0.3,35,0.2,135,0.5,87,0.4
     93. Telephone and other communications services,414,3.9,496,2.6,579,2.0,515,2.4
     94. Photographic and photo-printing services,2,[-§32],2,[-§32],48,0.2,26,0.1
Overall,10569,100.0,19288,100.0,28715,100.0,21623,100.0
 ,,,,,,,,
Note(s):,,,,,,,,
(a) The Household Expenditure Survey (HES) is conducted once every five years to collect up-to-date information on the expenditure patterns of households in Hong Kong for updating the expenditure weights used for compiling the Consumer Price Index. The 2009/10 HES was conducted during the period from October 2009 to September 2010.,,,,,,,,
(b) Figures may not add up to totals due to rounding.,,,,,,,,
"(c) Group 81 “School fees” covers “Kindergarten”, “Primary”, “Secondary”, “Project Yi Jin, craft and technician level”, “Post-secondary (including distance learning)”, “Private, vocational”, “Language courses” and “Other courses”. “Tuition schools and expenses on tuition” is also included.",,,,,,,,
(d) Statistics on medical expenses are subsumed in group 59 “Proprietary medicines and supplies” and group 83 “Medical services”.,,,,,,,,
[-§32] Less than 0.05%,,,,,,,,
[-§19] Less than $0.5,,,,,,,,
 ,,,,,,,,
Source:,,,,,,,,
Household Expenditure Survey,,,,,,,,
"Price Analysis & Research Section,",,,,,,,,
Census and Statistics Department,,,,,,,,
(Enquiry telephone no. : 3903 7384,,,,,,,,
 Enquiry e-mail : hes@censtatd.gov.hk),,,,,,,,
 ,,,,,,,,
"Release Date: 28 April, 2011",,,,,,,,
