Table 140-09002 : 2004/05 Household Expenditure Survey - Average Monthly Household Expenditure by Commodity/Service Section/Group by Type of Housing,,,,,,,,
     81. Inbound and outbound transport fares,31,0.3,57,0.3,209,0.9,130,0.7
Miscellaneous services,1583,15.1,2708,15.5,3939,16.5,3037,16.1
     82. School fees,497,4.7,831,4.8,1050,4.4,852,4.5
     83. Other educational charges,19,0.2,29,0.2,24,0.1,23,0.1
     84. Medical services,229,2.2,360,2.1,568,2.4,432,2.3
     85. Cinema entertainment,16,0.1,19,0.1,25,0.1,21,0.1
     86. Package tours,73,0.7,232,1.3,356,1.5,252,1.3
     87. Expenses on parties,30,0.3,82,0.5,50,0.2,50,0.3
     88. Other entertainment and holiday expenses,40,0.4,81,0.5,98,0.4,78,0.4
     89. Household services,68,0.6,257,1.5,753,3.1,465,2.5
     90. Hair-dressing,49,0.5,63,0.4,95,0.4,76,0.4
     91. Beauty treatment and fitness services,27,0.3,64,0.4,138,0.6,93,0.5
     92. Repairs to personal and household goods,9,0.1,21,0.1,16,0.1,15,0.1
"     93. Professional services, photo-printing, subscriptions and other services",54,0.5,70,0.4,124,0.5,94,0.5
     94. Telephone and other communications services,470,4.5,599,3.4,641,2.7,585,3.1
Overall,10482,100.0,17458,100.0,23920,100.0,18884,100.0
 ,,,,,,,,
Note(s):,,,,,,,,
(a) The Household Expenditure Survey (HES) is conducted at five-yearly intervals to collect up-to-date information on the expenditure patterns of households in Hong Kong for updating the expenditure weights used for compiling the Consumer Price Index. The 2004/05 HES was conducted during the period from October 2004 to September 2005.,,,,,,,,
(b) Figures may not add up to totals due to rounding.,,,,,,,,
"(c) Group 82 “School fees” covers “Kindergarten”, “Primary”, “Secondary”, “Project Yi Jin, craft and technician level”, “Post-secondary (including distance learning)”, “Private, vocational”, “Language courses” and “Other courses”. “Tuition schools and expenses on tuition” is also included.",,,,,,,,
(d) Statistics on medical expenses are subsumed in group 59 “Proprietary medicines and supplies” and group 84 “Medical services”.,,,,,,,,
[-§32] Less than 0.05%,,,,,,,,
 ,,,,,,,,
Source:,,,,,,,,
Household Expenditure Survey,,,,,,,,
"Price Analysis & Research Section,",,,,,,,,
Census and Statistics Department,,,,,,,,
(Enquiry telephone no. : 3903 7384,,,,,,,,
 Enquiry e-mail : hes@censtatd.gov.hk),,,,,,,,
 ,,,,,,,,
"Release Date: 15 June, 2006",,,,,,,,
